
Gurobi 10.0.1 (linux64) logging started Sun Jun 15 21:16:55 2025

Set parameter LogFile to value "LogFile_Subproblem_B4_S0.txt"
Set parameter LogToConsole to value 0
Set parameter MIPFocus to value 3
Set parameter Cuts to value 3
Set parameter TimeLimit to value 7200
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (linux64)

CPU model: Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 80 physical cores, 80 logical processors, using up to 32 threads

Optimize a model with 77 rows, 97 columns and 149 nonzeros
Model fingerprint: 0xbf9090b9
Model has 28 quadratic objective terms
Model has 28 quadratic constraints
Variable types: 69 continuous, 28 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+04]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 1e+00]
  Objective range  [8e+00, 1e+04]
  QObjective range [2e+00, 2e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+01, 4e+01]
  QRHS range       [1e+00, 1e+00]
Presolve removed 51 rows and 52 columns
Presolve time: 0.00s
Presolved: 59 rows, 54 columns, 174 nonzeros
Presolved model has 16 bilinear constraint(s)
Variable types: 45 continuous, 9 integer (0 binary)
Root relaxation presolve removed 22 rows and 16 columns

Root relaxation: numerical trouble, 0 iterations, 0.00 seconds (0.00 work units)
Exploring 100 nodes in MinRel heuristic

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                      -0.0000000          -      -     -    0s
Feasible solution found by MinRel heuristic at node 1
     0     2  postponed    0        -0.00000          -      -     -    0s
H   35    64                      70.0000000          -      -  22.0   12s
  3336  3138 2727520.98   18   10   70.00000          -      -   6.8   15s
  8889  6641  postponed  123        70.00000          -      -   6.7   20s
 12358  7665 3.1470e+28  105    8   70.00000          -      -  17.3   25s
 15216  9304  postponed  400        70.00000          -      -  27.8   30s
 16690  9890  postponed  603        70.00000          -      -  38.4   35s
 17461 10245 infeasible  779        70.00000          -      -  47.5   40s
 19673 11570     cutoff  111        70.00000          -      -  53.7   46s
 21075 12217 infeasible 1188        70.00000          -      -  59.7   50s
 22525 12785  postponed  110        70.00000          -      -  66.1   55s
 23796 13433 infeasible 1665        70.00000          -      -  71.4   60s
 25156 14202  postponed 1864        70.00000          -      -  77.4   65s
 26964 15646  postponed 1936        70.00000          -      -  78.2   70s
 32093 18321 infeasible 2058        70.00000          -      -  72.7   77s
 34950 19211  postponed 1958        70.00000          -      -  67.7   80s
 43040 19987 infeasible 2169        70.00000          -      -  56.3   85s
 50994 19994 infeasible 2245        70.00000          -      -  48.0   90s
 59983 20007 infeasible 2562        70.00000          -      -  41.3   95s
 70623 20026  postponed 2940        70.00000          -      -  35.5  101s
 79354 20022 infeasible 2597        70.00000          -      -  31.8  105s
 88380 20031 infeasible 2810        70.00000          -      -  28.8  110s
 99818 20039 infeasible 2981        70.00000          -      -  25.8  116s
 109272 20038 infeasible 2904        70.00000          -      -  23.7  120s
 122628 20046 infeasible 3072        70.00000          -      -  21.4  125s
 134927 20059 infeasible 3665        70.00000          -      -  19.7  131s
 143780 20062 infeasible 3620        70.00000          -      -  18.7  135s
 154512 20081 infeasible 3415        70.00000          -      -  17.6  140s
 168822 20092  postponed 3642        70.00000          -      -  16.3  145s
 178978 20089 infeasible 3693        70.00000          -      -  15.5  150s
 193842 20124 infeasible 4726        70.00000          -      -  14.4  156s
 205753 20111 infeasible 4584        70.00000          -      -  13.7  161s
 216769 20127 infeasible 3959        70.00000          -      -  13.1  165s
 227912 20123 infeasible 4058        70.00000          -      -  12.6  170s
 238808 20130 infeasible 4421        70.00000          -      -  12.2  175s
 254444 20138 infeasible 4826        70.00000          -      -  11.5  181s
 266273 20135 infeasible 4141        70.00000          -      -  11.1  185s
 277636 20159  postponed 4457        70.00000          -      -  10.7  191s
 289436 20152 infeasible 4817        70.00000          -      -  10.3  196s
 300877 20156  postponed 4440        70.00000          -      -  10.0  200s
 313220 20132 infeasible 5018        70.00000          -      -   9.7  205s
 325540 20158 infeasible 4476        70.00000          -      -   9.4  210s
 337087 20146 infeasible 4417        70.00000          -      -   9.1  215s
 348525 20179  postponed 5256        70.00000          -      -   8.9  220s
 364871 20172 infeasible 4837        70.00000          -      -   8.5  226s
 372771 20179 infeasible 4837        70.00000          -      -   8.4  230s
 388214 20184  postponed 5180        70.00000          -      -   8.1  236s
 399758 20188 infeasible 4516        70.00000          -      -   7.9  240s
 411155 20196 infeasible 5264        70.00000          -      -   7.8  245s
 422787 20197 infeasible 5195        70.00000          -      -   7.6  250s
 434362 20218 infeasible 4947        70.00000          -      -   7.5  255s
 446515 20204 infeasible 5277        70.00000          -      -   7.3  260s
 458493 20186 infeasible 5153        70.00000          -      -   7.1  265s
 471044 20192 infeasible 5272        70.00000          -      -   7.0  270s
 488081 20197 infeasible 5626        70.00000          -      -   6.8  276s
 500225 20205  postponed 5568        70.00000          -      -   6.6  281s
 512577 20208 infeasible 5816        70.00000          -      -   6.5  285s
 524687 20206 infeasible 5816        70.00000          -      -   6.4  290s
 537373 20200 infeasible 5592        70.00000          -      -   6.3  295s
 550123 20234  postponed 6147        70.00000          -      -   6.2  300s
 562691 20225  postponed 6343        70.00000          -      -   6.0  305s
 579338 20226 infeasible 6125        70.00000          -      -   5.9  311s
 591831 20221 infeasible 6175        70.00000          -      -   5.8  316s
 599957 20220 infeasible 6285        70.00000          -      -   5.8  320s
 612622 20239 infeasible 6150        70.00000          -      -   5.7  325s
 625338 20218 infeasible 6293        70.00000          -      -   5.6  330s
 641839 20234 infeasible 6589        70.00000          -      -   5.5  336s
 654097 20244  postponed 6522        70.00000          -      -   5.4  341s
 666277 20241  postponed 6201        70.00000          -      -   5.3  346s
 678473 20251  postponed 6261        70.00000          -      -   5.3  350s
 690788 20271 infeasible 6837        70.00000          -      -   5.2  355s
 702652 20264 infeasible 6801        70.00000          -      -   5.1  360s
 714905 20272 infeasible 6654        70.00000          -      -   5.1  365s
 726808 20271  postponed 6465        70.00000          -      -   5.0  370s
 739229 20303  postponed 6490        70.00000          -      -   5.0  375s
 752001 20300  postponed 7133        70.00000          -      -   4.9  380s
 764503 20291  postponed 6755        70.00000          -      -   4.8  385s
 777604 20277 infeasible 6610        70.00000          -      -   4.8  390s
